,Land Area,Ocean Area,Environment,Species,Scientific name
0,Asia,Inland waters,Brackishwater,Crustaceans,Crustaceans
1,Asia,Inland waters,Brackishwater,Diadromous fishes,Diadromous fishes
2,Asia,Inland waters,Brackishwater,Freshwater fishes,Freshwater fishes
3,Asia,Inland waters,Brackishwater,Marine fishes,Marine fishes
4,Asia,Inland waters,Freshwater,Aquatic plants,Aquatic plants
5,Asia,Inland waters,Freshwater,Crustaceans,Crustaceans
6,Asia,Inland waters,Freshwater,Diadromous fishes,Diadromous fishes
7,Asia,Inland waters,Freshwater,Freshwater fishes,Freshwater fishes
8,Asia,Inland waters,Freshwater,Marine fishes,Marine fishes
9,Asia,Inland waters,Freshwater,Miscellaneous aquatic animal products,Miscellaneous aquatic animal products
10,Asia,Inland waters,Freshwater,Miscellaneous aquatic animals,Miscellaneous aquatic animals
11,Asia,Inland waters,Freshwater,Molluscs,Molluscs
12,Asia,Marine areas,Brackishwater,Aquatic plants,Aquatic plants
13,Asia,Marine areas,Brackishwater,Crustaceans,Crustaceans
14,Asia,Marine areas,Brackishwater,Diadromous fishes,Diadromous fishes
15,Asia,Marine areas,Brackishwater,Freshwater fishes,Freshwater fishes
16,Asia,Marine areas,Brackishwater,Marine fishes,Marine fishes
17,Asia,Marine areas,Brackishwater,Miscellaneous aquatic animals,Miscellaneous aquatic animals
18,Asia,Marine areas,Brackishwater,Molluscs,Molluscs
19,Asia,Marine areas,Marine,Aquatic plants,Aquatic plants
20,Asia,Marine areas,Marine,Crustaceans,Crustaceans
21,Asia,Marine areas,Marine,Diadromous fishes,Diadromous fishes
22,Asia,Marine areas,Marine,Freshwater fishes,Freshwater fishes
23,Asia,Marine areas,Marine,Marine fishes,Marine fishes
24,Asia,Marine areas,Marine,Miscellaneous aquatic animal products,Miscellaneous aquatic animal products
25,Asia,Marine areas,Marine,Miscellaneous aquatic animals,Miscellaneous aquatic animals
26,Asia,Marine areas,Marine,Molluscs,Molluscs
